Fog executionTime (s),Cloud executionTime (s),m,n,Fog faster than Cloud ?
0.071247886,0.119028516,4400,20,TRUE
0.0716557,0.11812233,4500,20,TRUE
0.070887464,0.115934443,4600,20,TRUE
0.072542567,0.11442695,4700,20,TRUE
0.072141092,0.114850763,4800,20,TRUE
0.193183321,0.117936685,4900,20,FALSE
0.147657289,0.114677797,5000,20,FALSE
0.059243489,0.115882222,5100,20,TRUE
0.043128956,0.123439908,5200,20,TRUE
0.045407098,0.126579562,5300,20,TRUE
0.043587482,0.118594138,5400,20,TRUE
0.046181673,0.120604228,5500,20,TRUE
0.06259535,0.11486978,5600,20,TRUE
0.078953485,0.114323715,5700,20,TRUE
0.081639744,0.123088542,5800,20,TRUE
0.083252585,0.117690669,5900,20,TRUE
0.085270525,0.116378782,6000,20,TRUE
0.086599013,0.119589373,6100,20,TRUE
0.085943372,0.115264312,6200,20,TRUE
0.090073431,0.114592974,6300,20,TRUE
0.119097038,0.115775664,6400,20,FALSE
0.092211209,0.119324339,6500,20,TRUE
0.088795352,0.119985716,6600,20,TRUE
0.090710055,0.115609339,6700,20,TRUE
0.09174091,0.115862902,6800,20,TRUE
0.098959003,0.11727229,6900,20,TRUE
0.094697334,0.119970019,7000,20,TRUE
0.120971593,0.120401076,7100,20,FALSE
0.100466194,0.11763905,7200,20,TRUE
0.112581374,0.116324749,7300,20,TRUE
0.109724263,0.115965232,7400,20,TRUE
0.110995096,0.115622017,7500,20,TRUE
0.1019598,0.118492411,7600,20,TRUE
0.137468584,0.115849319,7700,20,FALSE
0.109095185,0.116585255,7800,20,TRUE
0.11705978,0.117125284,7900,20,TRUE
0.105361167,0.11584298,8000,20,TRUE
0.109227701,0.118560933,8100,20,TRUE
0.111147838,0.128352088,8200,20,TRUE
0.085016659,0.117570226,8300,20,TRUE
0.062424195,0.122422335,8400,20,TRUE
0.110235615,0.116647739,8500,20,TRUE
0.115556513,0.117116832,8600,20,TRUE
0.130918206,0.116825838,8700,20,FALSE
0.121188631,0.145534303,8800,20,TRUE
0.137333048,0.117690065,8900,20,FALSE
0.116174724,0.121747677,9000,20,TRUE
0.121502264,0.12426912,9100,20,TRUE
0.127415415,0.117386393,9200,20,FALSE
0.134274596,0.118928599,9300,20,FALSE
0.151084616,0.122123795,9400,20,FALSE
0.135025021,0.122080327,9500,20,FALSE
0.125705071,0.122469124,9600,20,FALSE
0.136016936,0.119247364,9700,20,FALSE
0.124838128,0.123387083,9800,20,FALSE
0.15512653,0.119546206,9900,20,FALSE
0.127273238,0.118198096,10000,20,FALSE
0.037229389,0.116178649,1000,30,TRUE
0.037535174,0.111182249,1100,30,TRUE
0.043738714,0.165876396,1200,30,TRUE
0.041261041,0.128411856,1300,30,TRUE
0.042528253,0.11270725,1400,30,TRUE
0.043383123,0.112478742,1500,30,TRUE
0.046784489,0.11630875,1600,30,TRUE
0.04848306,0.112936664,1700,30,TRUE
0.049236504,0.114333978,1800,30,TRUE
0.050216948,0.113553064,1900,30,TRUE
0.051821337,0.114420309,2000,30,TRUE
0.054965519,0.11288082,2100,30,TRUE
0.075238486,0.115002599,2200,30,TRUE
0.056550891,0.117779114,2300,30,TRUE
0.058365074,0.117659577,2400,30,TRUE
0.059103123,0.114997467,2500,30,TRUE
0.061157286,0.114423026,2600,30,TRUE
0.063142624,0.114094904,2700,30,TRUE
0.067934965,0.121686399,2800,30,TRUE
0.065409597,0.115251936,2900,30,TRUE
0.053330037,0.122185375,3000,30,TRUE
0.042239674,0.119685666,3100,30,TRUE
0.071645135,0.121875063,3200,30,TRUE
0.108719368,0.135742242,3300,30,TRUE
0.082771722,0.115118212,3400,30,TRUE
0.076271754,0.116346483,3500,30,TRUE
0.077431805,0.119481306,3600,30,TRUE
0.079424388,0.115612055,3700,30,TRUE
0.085120198,0.120173474,3800,30,TRUE
0.13287215,0.120071445,3900,30,FALSE
0.084619713,0.115226882,4000,30,TRUE
0.084581679,0.120592758,4100,30,TRUE
0.113052277,3.116961373,4200,30,
0.088511603,0.116808934,4300,30,TRUE
0.09143935,0.116221513,4400,30,TRUE
0.100351487,0.119570355,4500,30,TRUE
0.093526113,0.12133292,4600,30,TRUE
0.10122809,0.11785307,4700,30,TRUE
0.096311684,0.124986643,4800,30,TRUE
0.125280655,0.124759643,4900,30,FALSE
0.105264874,0.122247558,5000,30,TRUE
0.102429798,0.120411943,5100,30,TRUE
0.117019934,0.120137854,5200,30,TRUE
0.103816546,0.123873079,5300,30,TRUE
0.105145035,3.127203206,5400,30,
0.106904279,0.125151157,5500,30,TRUE
0.127609208,0.122444975,5600,30,FALSE
0.111131537,0.121441288,5700,30,TRUE
0.112859388,0.125478676,5800,30,TRUE
0.112992207,0.129195789,5900,30,TRUE
0.114355108,0.121525508,6000,30,TRUE
0.144746748,0.11768916,6100,30,FALSE
0.118927694,0.122524063,6200,30,TRUE
0.125048222,0.118489694,6300,30,FALSE
0.13127078,0.117907103,6400,30,FALSE
0.124522683,0.117947251,6500,30,FALSE
0.158338933,0.117652635,6600,30,FALSE
0.12714857,0.125660698,6700,30,FALSE
0.064597894,0.119321623,6800,30,TRUE
0.066060409,0.123028472,6900,30,TRUE
0.064621742,0.122822302,7000,30,TRUE
0.081318564,0.123288978,7100,30,TRUE
0.098004821,0.119563412,7200,30,TRUE
0.144710222,0.119596919,7300,30,FALSE
0.136715743,0.118598062,7400,30,FALSE
0.141182678,0.118856757,7500,30,FALSE
0.166419443,0.123820554,7600,30,FALSE
0.145225801,0.1205022,7700,30,FALSE
0.143386865,0.122980174,7800,30,FALSE
0.146781591,0.119727323,7900,30,FALSE
0.177003888,0.119532019,8000,30,FALSE
0.153340723,0.119296266,8100,30,FALSE
0.174009127,0.119947077,8200,30,FALSE
0.151548576,0.124420653,8300,30,FALSE
0.183275044,0.125060901,8400,30,FALSE
0.152964303,0.11975932,8500,30,FALSE
0.155710028,0.128855893,8600,30,FALSE
0.15735698,0.162423713,8700,30,TRUE
0.185162881,0.130209437,8800,30,FALSE
0.127473975,0.120377833,8900,30,FALSE
0.078529672,0.119602051,9000,30,TRUE
